account_id,signup_ts_utc,signup_month,initial_plan_tier,region,acquisition_channel
acct_000141,2024-04-04T16:48:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000142,2024-09-13T15:58:00+00:00,2024-09-01,free,LATAM,partner
acct_000143,2024-07-10T17:39:00+00:00,2024-07-01,free,NA,organic
acct_000144,2024-04-21T11:16:00+00:00,2024-04-01,free,NA,paid_search
acct_000145,2024-04-06T16:04:00+00:00,2024-04-01,free,EU,organic
acct_000146,2024-07-15T19:38:00+00:00,2024-07-01,free,LATAM,partner
acct_000147,2024-01-08T12:45:00+00:00,2024-01-01,free,APAC,direct
acct_000148,2024-02-22T11:59:00+00:00,2024-02-01,free,APAC,paid_search
acct_000149,2024-07-04T16:14:00+00:00,2024-07-01,free,EU,partner
acct_000150,2024-03-03T08:10:00+00:00,2024-03-01,free,APAC,partner
acct_000151,2024-08-04T15:44:00+00:00,2024-08-01,free,APAC,direct
acct_000152,2024-05-17T16:31:00+00:00,2024-05-01,free,LATAM,organic
acct_000153,2024-01-14T19:20:00+00:00,2024-01-01,free,APAC,organic
acct_000154,2024-02-08T18:53:00+00:00,2024-02-01,free,NA,partner
acct_000155,2024-01-25T20:11:00+00:00,2024-01-01,free,LATAM,direct
acct_000156,2024-05-06T17:27:00+00:00,2024-05-01,free,LATAM,organic
acct_000157,2024-08-12T14:21:00+00:00,2024-08-01,free,APAC,organic
acct_000158,2024-03-11T14:44:00+00:00,2024-03-01,free,LATAM,partner
acct_000159,2024-07-25T16:02:00+00:00,2024-07-01,free,LATAM,organic
acct_000160,2024-06-09T13:07:00+00:00,2024-06-01,free,LATAM,organic
acct_000161,2024-09-15T14:03:00+00:00,2024-09-01,free,EU,partner
acct_000162,2024-08-21T15:48:00+00:00,2024-08-01,free,NA,paid_search
acct_000163,2024-05-18T10:59:00+00:00,2024-05-01,free,APAC,direct
acct_000164,2024-08-04T08:40:00+00:00,2024-08-01,free,EU,paid_search
acct_000165,2024-05-18T08:35:00+00:00,2024-05-01,free,LATAM,organic
acct_000166,2024-04-04T15:07:00+00:00,2024-04-01,free,EU,direct
acct_000167,2024-05-17T19:17:00+00:00,2024-05-01,free,LATAM,direct
acct_000168,2024-08-08T15:35:00+00:00,2024-08-01,free,EU,direct
acct_000169,2024-04-20T16:47:00+00:00,2024-04-01,free,EU,organic
acct_000170,2024-05-25T20:54:00+00:00,2024-05-01,free,LATAM,partner
acct_000171,2024-09-09T08:18:00+00:00,2024-09-01,free,APAC,direct
acct_000172,2024-03-15T16:30:00+00:00,2024-03-01,free,APAC,partner
acct_000173,2024-09-25T16:24:00+00:00,2024-09-01,free,LATAM,partner
acct_000174,2024-04-23T11:36:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000175,2024-07-02T13:47:00+00:00,2024-07-01,free,LATAM,direct
acct_000176,2024-07-22T20:52:00+00:00,2024-07-01,free,EU,direct
acct_000177,2024-01-05T16:37:00+00:00,2024-01-01,free,APAC,organic
acct_000178,2024-08-04T16:58:00+00:00,2024-08-01,free,LATAM,organic
acct_000179,2024-03-14T18:09:00+00:00,2024-03-01,free,NA,direct
acct_000180,2024-05-11T17:44:00+00:00,2024-05-01,free,LATAM,organic
acct_000181,2024-06-22T16:24:00+00:00,2024-06-01,free,APAC,direct
acct_000182,2024-09-02T17:04:00+00:00,2024-09-01,free,EU,partner
acct_000183,2024-04-24T09:27:00+00:00,2024-04-01,free,NA,organic
acct_000184,2024-08-06T19:19:00+00:00,2024-08-01,free,NA,organic
acct_000185,2024-06-02T12:22:00+00:00,2024-06-01,free,APAC,direct
acct_000186,2024-03-08T16:26:00+00:00,2024-03-01,free,EU,paid_search
acct_000187,2024-03-03T17:55:00+00:00,2024-03-01,free,LATAM,paid_search
acct_000188,2024-08-19T10:14:00+00:00,2024-08-01,free,LATAM,partner
acct_000189,2024-08-09T18:00:00+00:00,2024-08-01,free,LATAM,partner
acct_000190,2024-09-06T09:28:00+00:00,2024-09-01,free,APAC,partner
acct_000191,2024-07-23T12:29:00+00:00,2024-07-01,free,APAC,paid_search
acct_000192,2024-07-16T09:15:00+00:00,2024-07-01,free,LATAM,partner
acct_000193,2024-05-23T12:01:00+00:00,2024-05-01,free,LATAM,partner
acct_000194,2024-01-19T18:49:00+00:00,2024-01-01,free,NA,direct
acct_000195,2024-05-25T20:14:00+00:00,2024-05-01,free,APAC,paid_search
acct_000196,2024-04-20T12:43:00+00:00,2024-04-01,free,EU,organic
acct_000197,2024-01-10T20:28:00+00:00,2024-01-01,free,NA,partner
acct_000198,2024-03-03T12:20:00+00:00,2024-03-01,free,LATAM,paid_search
acct_000199,2024-04-05T20:34:00+00:00,2024-04-01,free,APAC,partner
acct_000200,2024-03-09T15:51:00+00:00,2024-03-01,free,APAC,partner
acct_000201,2024-02-15T09:09:00+00:00,2024-02-01,free,EU,direct
acct_000202,2024-09-12T09:50:00+00:00,2024-09-01,free,LATAM,organic
acct_000203,2024-05-18T09:29:00+00:00,2024-05-01,free,APAC,partner
acct_000204,2024-07-21T13:06:00+00:00,2024-07-01,free,EU,direct
acct_000205,2024-01-20T16:20:00+00:00,2024-01-01,free,EU,organic
acct_000206,2024-08-23T12:41:00+00:00,2024-08-01,free,LATAM,organic
acct_000207,2024-03-02T08:19:00+00:00,2024-03-01,free,LATAM,organic
acct_000208,2024-02-08T16:08:00+00:00,2024-02-01,free,LATAM,direct
acct_000209,2024-06-22T19:44:00+00:00,2024-06-01,free,LATAM,paid_search
acct_000210,2024-07-21T09:53:00+00:00,2024-07-01,free,LATAM,direct
acct_000211,2024-05-02T19:23:00+00:00,2024-05-01,free,EU,direct
acct_000212,2024-08-08T13:06:00+00:00,2024-08-01,free,APAC,partner
acct_000213,2024-01-13T12:12:00+00:00,2024-01-01,free,NA,direct
acct_000214,2024-02-22T11:41:00+00:00,2024-02-01,free,NA,organic
acct_000215,2024-06-08T10:50:00+00:00,2024-06-01,free,EU,organic
acct_000216,2024-09-07T17:13:00+00:00,2024-09-01,free,EU,partner
acct_000217,2024-03-20T08:17:00+00:00,2024-03-01,free,EU,paid_search
acct_000218,2024-09-09T20:11:00+00:00,2024-09-01,free,NA,organic
acct_000219,2024-03-01T13:50:00+00:00,2024-03-01,free,EU,partner
acct_000220,2024-01-06T12:03:00+00:00,2024-01-01,free,EU,direct
acct_000221,2024-09-04T19:04:00+00:00,2024-09-01,free,LATAM,direct
acct_000222,2024-06-17T17:06:00+00:00,2024-06-01,free,LATAM,paid_search
acct_000223,2024-01-24T20:58:00+00:00,2024-01-01,free,APAC,direct
acct_000224,2024-01-02T15:54:00+00:00,2024-01-01,free,LATAM,direct
acct_000225,2024-02-16T19:58:00+00:00,2024-02-01,free,LATAM,organic
acct_000226,2024-02-11T17:09:00+00:00,2024-02-01,free,NA,paid_search
acct_000227,2024-05-20T18:37:00+00:00,2024-05-01,free,APAC,direct
acct_000228,2024-09-10T15:32:00+00:00,2024-09-01,free,LATAM,organic
acct_000229,2024-02-21T18:56:00+00:00,2024-02-01,free,EU,direct
acct_000230,2024-08-08T14:21:00+00:00,2024-08-01,free,LATAM,direct
acct_000231,2024-07-24T09:20:00+00:00,2024-07-01,free,LATAM,partner
acct_000232,2024-05-12T10:43:00+00:00,2024-05-01,free,LATAM,organic
acct_000233,2024-02-03T09:27:00+00:00,2024-02-01,free,NA,partner
acct_000234,2024-03-18T08:37:00+00:00,2024-03-01,free,APAC,organic
acct_000235,2024-07-12T18:48:00+00:00,2024-07-01,free,LATAM,organic
acct_000236,2024-05-20T12:22:00+00:00,2024-05-01,free,NA,paid_search
acct_000237,2024-03-22T15:14:00+00:00,2024-03-01,free,NA,partner
acct_000238,2024-09-12T09:48:00+00:00,2024-09-01,free,APAC,paid_search
acct_000239,2024-07-18T20:52:00+00:00,2024-07-01,free,NA,partner
acct_000240,2024-01-06T12:44:00+00:00,2024-01-01,free,APAC,partner
acct_000241,2024-06-01T10:55:00+00:00,2024-06-01,free,EU,direct
acct_000242,2024-02-05T19:40:00+00:00,2024-02-01,free,NA,organic
acct_000243,2024-09-07T14:26:00+00:00,2024-09-01,free,LATAM,partner
acct_000244,2024-03-12T12:46:00+00:00,2024-03-01,free,APAC,organic
acct_000245,2024-01-05T10:48:00+00:00,2024-01-01,free,NA,organic
acct_000246,2024-05-15T18:27:00+00:00,2024-05-01,free,LATAM,direct
acct_000247,2024-07-09T11:48:00+00:00,2024-07-01,free,NA,partner
acct_000248,2024-07-04T12:43:00+00:00,2024-07-01,free,LATAM,partner
acct_000249,2024-01-08T14:38:00+00:00,2024-01-01,free,NA,organic
acct_000250,2024-04-10T11:49:00+00:00,2024-04-01,free,EU,partner
acct_000251,2024-05-11T09:00:00+00:00,2024-05-01,free,LATAM,direct
acct_000252,2024-03-05T14:34:00+00:00,2024-03-01,free,EU,partner
acct_000253,2024-02-13T19:02:00+00:00,2024-02-01,free,LATAM,organic
acct_000254,2024-08-03T13:36:00+00:00,2024-08-01,free,LATAM,direct
acct_000255,2024-07-10T09:25:00+00:00,2024-07-01,free,NA,partner
acct_000256,2024-03-20T15:53:00+00:00,2024-03-01,free,APAC,organic
acct_000257,2024-07-04T11:27:00+00:00,2024-07-01,free,LATAM,organic
acct_000258,2024-07-10T19:21:00+00:00,2024-07-01,free,EU,partner
acct_000259,2024-03-03T16:40:00+00:00,2024-03-01,free,NA,paid_search
acct_000260,2024-06-12T19:52:00+00:00,2024-06-01,free,EU,paid_search
acct_000261,2024-02-05T12:12:00+00:00,2024-02-01,free,EU,paid_search
acct_000262,2024-02-06T20:40:00+00:00,2024-02-01,free,LATAM,direct
acct_000263,2024-08-22T17:41:00+00:00,2024-08-01,free,APAC,partner
acct_000264,2024-03-15T09:30:00+00:00,2024-03-01,free,LATAM,partner
acct_000265,2024-05-19T08:22:00+00:00,2024-05-01,free,NA,partner
acct_000266,2024-08-15T08:03:00+00:00,2024-08-01,free,APAC,partner
acct_000267,2024-02-21T09:39:00+00:00,2024-02-01,free,LATAM,direct
acct_000268,2024-09-24T08:28:00+00:00,2024-09-01,free,EU,partner
acct_000269,2024-08-17T10:03:00+00:00,2024-08-01,free,LATAM,organic
acct_000270,2024-06-23T09:32:00+00:00,2024-06-01,free,EU,organic
acct_000271,2024-04-23T15:28:00+00:00,2024-04-01,free,EU,partner
acct_000272,2024-06-10T14:26:00+00:00,2024-06-01,free,APAC,organic
acct_000273,2024-06-03T13:06:00+00:00,2024-06-01,free,LATAM,partner
acct_000274,2024-05-24T18:58:00+00:00,2024-05-01,free,EU,partner
acct_000275,2024-02-19T18:09:00+00:00,2024-02-01,free,APAC,partner
acct_000276,2024-07-05T17:45:00+00:00,2024-07-01,free,NA,partner
acct_000277,2024-09-13T18:50:00+00:00,2024-09-01,free,APAC,paid_search
acct_000278,2024-09-03T18:42:00+00:00,2024-09-01,free,LATAM,partner
acct_000279,2024-01-12T12:11:00+00:00,2024-01-01,free,EU,partner
acct_000280,2024-08-07T11:08:00+00:00,2024-08-01,free,EU,organic
acct_000281,2024-05-04T16:49:00+00:00,2024-05-01,free,NA,partner
acct_000282,2024-03-20T14:09:00+00:00,2024-03-01,free,EU,paid_search
acct_000283,2024-03-24T15:02:00+00:00,2024-03-01,free,LATAM,partner
acct_000284,2024-04-15T17:18:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000285,2024-09-08T12:51:00+00:00,2024-09-01,free,LATAM,paid_search
acct_000286,2024-06-22T17:28:00+00:00,2024-06-01,free,LATAM,partner
acct_000287,2024-07-17T16:26:00+00:00,2024-07-01,free,EU,paid_search
acct_000288,2024-03-09T08:41:00+00:00,2024-03-01,free,LATAM,partner
acct_000289,2024-09-04T19:54:00+00:00,2024-09-01,free,NA,partner
acct_000290,2024-02-25T10:17:00+00:00,2024-02-01,free,LATAM,paid_search
acct_000291,2024-07-03T11:52:00+00:00,2024-07-01,free,LATAM,partner
acct_000292,2024-01-14T08:25:00+00:00,2024-01-01,free,APAC,paid_search
acct_000293,2024-07-03T13:14:00+00:00,2024-07-01,free,NA,partner
acct_000294,2024-02-23T18:21:00+00:00,2024-02-01,free,EU,paid_search
acct_000295,2024-01-10T15:44:00+00:00,2024-01-01,free,EU,direct
acct_000296,2024-08-20T08:57:00+00:00,2024-08-01,free,NA,organic
acct_000297,2024-05-07T10:35:00+00:00,2024-05-01,free,LATAM,organic
acct_000298,2024-05-08T12:07:00+00:00,2024-05-01,free,NA,paid_search
acct_000299,2024-07-21T20:39:00+00:00,2024-07-01,free,LATAM,organic
acct_000300,2024-02-16T17:34:00+00:00,2024-02-01,free,NA,paid_search
acct_000301,2024-03-10T14:00:00+00:00,2024-03-01,free,APAC,paid_search
acct_000302,2024-07-06T18:42:00+00:00,2024-07-01,free,NA,partner
acct_000303,2024-02-17T16:32:00+00:00,2024-02-01,free,NA,direct
acct_000304,2024-08-02T18:24:00+00:00,2024-08-01,free,APAC,partner
acct_000305,2024-01-12T20:04:00+00:00,2024-01-01,free,APAC,paid_search
acct_000306,2024-02-25T17:47:00+00:00,2024-02-01,free,APAC,paid_search
acct_000307,2024-01-12T16:21:00+00:00,2024-01-01,free,EU,direct
acct_000308,2024-08-21T10:51:00+00:00,2024-08-01,free,EU,organic
acct_000309,2024-08-02T12:12:00+00:00,2024-08-01,free,NA,paid_search
acct_000310,2024-01-11T12:32:00+00:00,2024-01-01,free,LATAM,direct
acct_000311,2024-05-02T20:41:00+00:00,2024-05-01,free,EU,partner
acct_000312,2024-06-25T08:55:00+00:00,2024-06-01,free,APAC,partner
acct_000313,2024-02-12T14:56:00+00:00,2024-02-01,free,LATAM,direct
acct_000314,2024-07-11T10:31:00+00:00,2024-07-01,free,LATAM,partner
acct_000315,2024-09-09T20:05:00+00:00,2024-09-01,free,LATAM,organic
acct_000316,2024-07-20T10:34:00+00:00,2024-07-01,free,APAC,partner
acct_000317,2024-02-03T13:42:00+00:00,2024-02-01,free,APAC,partner
acct_000318,2024-08-20T19:27:00+00:00,2024-08-01,free,EU,direct
acct_000319,2024-06-15T08:46:00+00:00,2024-06-01,free,APAC,direct
acct_000320,2024-05-21T20:03:00+00:00,2024-05-01,free,NA,direct
acct_000321,2024-06-17T20:47:00+00:00,2024-06-01,free,EU,organic
acct_000322,2024-03-20T18:50:00+00:00,2024-03-01,free,LATAM,organic
acct_000323,2024-03-03T11:49:00+00:00,2024-03-01,free,APAC,partner
acct_000324,2024-07-19T08:38:00+00:00,2024-07-01,free,EU,direct
acct_000325,2024-06-12T15:48:00+00:00,2024-06-01,free,NA,paid_search
acct_000326,2024-09-12T14:20:00+00:00,2024-09-01,free,APAC,paid_search
acct_000327,2024-02-01T19:11:00+00:00,2024-02-01,free,LATAM,direct
acct_000328,2024-09-04T12:49:00+00:00,2024-09-01,free,APAC,direct
acct_000329,2024-04-20T12:44:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000330,2024-02-05T09:28:00+00:00,2024-02-01,free,EU,direct
acct_000331,2024-02-22T13:42:00+00:00,2024-02-01,free,APAC,organic
acct_000332,2024-09-18T12:57:00+00:00,2024-09-01,free,APAC,paid_search
acct_000333,2024-03-12T16:14:00+00:00,2024-03-01,free,NA,paid_search
acct_000334,2024-03-08T20:31:00+00:00,2024-03-01,free,NA,partner
acct_000335,2024-09-19T13:29:00+00:00,2024-09-01,free,EU,organic
acct_000336,2024-02-10T14:45:00+00:00,2024-02-01,free,LATAM,direct
acct_000337,2024-07-19T09:08:00+00:00,2024-07-01,free,APAC,organic
acct_000338,2024-08-15T18:33:00+00:00,2024-08-01,free,APAC,paid_search
acct_000339,2024-09-21T17:11:00+00:00,2024-09-01,free,EU,direct
acct_000340,2024-09-02T09:33:00+00:00,2024-09-01,free,EU,partner
acct_000341,2024-03-06T13:59:00+00:00,2024-03-01,free,EU,partner
acct_000342,2024-09-10T09:16:00+00:00,2024-09-01,free,EU,partner
acct_000343,2024-03-21T12:39:00+00:00,2024-03-01,free,NA,paid_search
acct_000344,2024-03-06T18:39:00+00:00,2024-03-01,free,APAC,organic
acct_000345,2024-01-03T08:41:00+00:00,2024-01-01,free,APAC,paid_search
acct_000346,2024-07-20T18:01:00+00:00,2024-07-01,free,LATAM,partner
acct_000347,2024-05-16T11:51:00+00:00,2024-05-01,free,LATAM,partner
acct_000348,2024-08-03T19:03:00+00:00,2024-08-01,free,EU,direct
acct_000349,2024-07-16T15:13:00+00:00,2024-07-01,free,APAC,paid_search
acct_000350,2024-06-23T13:46:00+00:00,2024-06-01,free,APAC,direct
acct_000351,2024-03-25T13:32:00+00:00,2024-03-01,free,NA,partner
acct_000352,2024-04-15T09:17:00+00:00,2024-04-01,free,LATAM,paid_search
acct_000353,2024-03-04T08:18:00+00:00,2024-03-01,free,LATAM,direct
acct_000354,2024-04-06T13:59:00+00:00,2024-04-01,free,APAC,paid_search
