fiscal_quarter,company_name,cik,revenue_usd,filed_date
2024-Q3,PEPSICO INC,77476,64070000000.0,2025-10-09
2024-Q3,ARCHER-DANIELS-MIDLAND CO,7084,64032000000.0,2025-11-04
2025-Q3,CARDINAL HEALTH INC,721371,64030000000.0,2025-10-30
2025-Q3,"T-MOBILE US, INC.",1283699,63975000000.0,2025-10-23
2025-Q4,BROADCOM INC.,1730168,63887000000.0,2025-12-18
2024-Q3,ENERGY TRANSFER LP,1276187,63130000000.0,2025-11-06
2024-Q4,COSTCO WHOLESALE CORP /NEW,909832,62151000000.0,2025-12-17
2023-Q4,DEERE & CO,315189,62053000000.0,2025-12-18
2025-Q3,ARCHER-DANIELS-MIDLAND CO,7084,61713000000.0,2025-11-04
2024-Q3,BRISTOL MYERS SQUIBB CO,14272,61298000000.0,2025-10-30
2024-Q3,CITIGROUP INC,831001,61257000000.0,2025-11-06
2023-Q3,STONEX GROUP INC.,913760,60856100000.0,2025-11-28
2024-Q3,RTX CORP,101829,60800000000.0,2025-10-21
2025-Q3,ENERGY TRANSFER LP,1276187,60216000000.0,2025-11-06
2024-Q3,"T-MOBILE US, INC.",1283699,59528000000.0,2025-10-23
2024-Q3,PRUDENTIAL FINANCIAL INC,1137774,57882000000.0,2025-10-30
2025-Q3,"HCA HEALTHCARE, INC.",860730,56087000000.0,2025-10-30
2025-Q4,HP INC,47217,55296000000.0,2025-12-10
2024-Q3,PROGRESSIVE CORP/OH/,80661,55096000000.0,2025-11-03
2025-Q3,LOCKHEED MARTIN CORP,936468,54727000000.0,2025-10-21
2025-Q3,"TYSON FOODS, INC.",100493,54441000000.0,2025-11-10
2025-Q3,METLIFE INC,1099219,54070000000.0,2025-11-07
2023-Q4,HP INC,47217,53720000000.0,2025-12-10
2024-Q4,HP INC,47217,53559000000.0,2025-12-10
2024-Q3,"TYSON FOODS, INC.",100493,53309000000.0,2025-11-10
2025-Q3,CATERPILLAR INC,18230,53181000000.0,2025-11-03
2024-Q3,CATERPILLAR INC,18230,53177000000.0,2025-11-03
2023-Q3,"TYSON FOODS, INC.",100493,52881000000.0,2025-11-10
2024-Q3,METLIFE INC,1099219,52707000000.0,2025-11-07
2024-Q3,LOCKHEED MARTIN CORP,936468,52421000000.0,2025-10-21
2024-Q3,"HCA HEALTHCARE, INC.",860730,52318000000.0,2025-10-30
2024-Q3,CARDINAL HEALTH INC,721371,52299000000.0,2025-10-30
2024-Q4,DEERE & CO,315189,52294000000.0,2025-12-18
2023-Q4,GALAXY DIGITAL INC.,1859392,51626779000.0,2025-12-09
2024-Q4,BROADCOM INC.,1730168,51574000000.0,2025-12-18
2024-Q3,BOEING CO,12927,51275000000.0,2025-10-29
2025-Q3,ALLSTATE CORP,899051,50340000000.0,2025-11-05
2025-Q3,GALAXY DIGITAL INC.,1859392,50039632000.0,2025-12-09
2025-Q3,"MERCK & CO., INC.",310158,48611000000.0,2025-11-05
2024-Q3,"MERCK & CO., INC.",310158,48544000000.0,2025-11-05
2025-Q3,INTERNATIONAL BUSINESS MACHINES CORP,51143,47849000000.0,2025-10-23
2024-Q3,ALLSTATE CORP,899051,47600000000.0,2025-11-05
2025-Q3,"DELTA AIR LINES, INC.",27904,47361000000.0,2025-10-09
2025-Q3,PUBLIX SUPER MARKETS INC,81061,47123000000.0,2025-11-03
2025-Q3,CONOCOPHILLIPS,1163165,47087000000.0,2025-11-06
2025-Q3,BUNGE GLOBAL SA,1996862,46567000000.0,2025-11-05
2025-Q4,DEERE & CO,315189,46116000000.0,2025-12-18
2024-Q3,"DELTA AIR LINES, INC.",27904,46084000000.0,2025-10-09
2025-Q3,ELI LILLY & CO,59478,45887000000.0,2025-10-30
2024-Q3,PFIZER INC,78003,45864000000.0,2025-11-04
2025-Q4,FEDEX CORP,1048911,45713000000.0,2025-12-18
2023-Q3,CHS INC,823277,45590004000.0,2025-11-05
2024-Q3,INTERNATIONAL BUSINESS MACHINES CORP,51143,45199000000.0,2025-10-23
2025-Q3,TD SYNNEX CORP,1177394,45128946000.0,2025-10-01
2025-Q3,PRUDENTIAL FINANCIAL INC,1137774,45084000000.0,2025-10-30
2025-Q3,PFIZER INC,78003,45022000000.0,2025-11-04
2025-Q3,ABBVIE INC.,1551152,44542000000.0,2025-11-04
2024-Q3,PUBLIX SUPER MARKETS INC,81061,44531000000.0,2025-11-03
2025-Q3,CHUBB LTD,896159,44337000000.0,2025-10-27
2025-Q3,QUALCOMM INC/DE,804328,44284000000.0,2025-11-05
2025-Q3,"ALBERTSONS COMPANIES, INC.",1646972,43796600000.0,2025-10-14
2025-Q3,"UNITED AIRLINES HOLDINGS, INC.",100517,43673000000.0,2025-10-16
2024-Q4,FEDEX CORP,1048911,43546000000.0,2025-12-18
2024-Q3,"ALBERTSONS COMPANIES, INC.",1646972,42816900000.0,2025-10-14
2024-Q3,TD SYNNEX CORP,1177394,42607873000.0,2025-10-01
2024-Q4,GALAXY DIGITAL INC.,1859392,42596673000.0,2025-12-09
2024-Q3,"UNITED AIRLINES HOLDINGS, INC.",100517,42368000000.0,2025-10-16
2024-Q3,CONOCOPHILLIPS,1163165,42137000000.0,2025-11-06
2024-Q3,CHUBB LTD,896159,41578000000.0,2025-10-27
2024-Q3,ABBVIE INC.,1551152,41232000000.0,2025-11-04
2025-Q3,CCO HOLDINGS LLC,1271833,41173000000.0,2025-10-31
2025-Q3,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,41173000000.0,2025-10-31
2024-Q3,CCO HOLDINGS LLC,1271833,41159000000.0,2025-10-31
2024-Q3,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,41159000000.0,2025-10-31
2025-Q3,AMERICAN AIRLINES GROUP INC.,6201,40634000000.0,2025-10-23
2024-Q3,AMERICAN AIRLINES GROUP INC.,6201,40551000000.0,2025-10-23
2025-Q3,VISA INC.,1403161,40000000000.0,2025-11-06
2024-Q3,BUNGE GLOBAL SA,1996862,39566000000.0,2025-11-05
2024-Q3,CHS INC,823277,39261229000.0,2025-11-05
2025-Q3,INTEL CORP,50863,39179000000.0,2025-11-06
2024-Q3,QUALCOMM INC/DE,804328,38962000000.0,2025-11-05
2024-Q3,INTEL CORP,50863,38841000000.0,2025-11-06
2025-Q3,GENERAL DYNAMICS CORP,40533,38171000000.0,2025-10-24
2025-Q3,INGRAM MICRO HOLDING CORP,1897762,37678554000.0,2025-10-30
2025-Q3,"UBER TECHNOLOGIES, INC",1543151,37651000000.0,2025-11-04
2025-Q3,MICRON TECHNOLOGY INC,723125,37378000000.0,2025-10-03
2025-Q3,STARBUCKS CORP,829224,37184400000.0,2025-11-14
2024-Q3,PLAINS ALL AMERICAN PIPELINE LP,1070423,36867000000.0,2025-11-07
2024-Q3,PLAINS GP HOLDINGS LP,1581990,36867000000.0,2025-11-07
2024-Q3,HORTON D R INC /DE/,882184,36801400000.0,2025-11-19
2025-Q3,"TRAVELERS COMPANIES, INC.",86312,36396000000.0,2025-10-16
2024-Q3,STARBUCKS CORP,829224,36176200000.0,2025-11-14
2025-Q3,COCA COLA CO,21344,36119000000.0,2025-10-23
2023-Q3,STARBUCKS CORP,829224,35975600000.0,2025-11-14
2024-Q3,VISA INC.,1403161,35926000000.0,2025-11-06
2023-Q3,QUALCOMM INC/DE,804328,35820000000.0,2025-11-05
2023-Q4,BROADCOM INC.,1730168,35819000000.0,2025-12-18
2024-Q3,COCA COLA CO,21344,35517000000.0,2025-10-23
2025-Q3,CHS INC,823277,35462608000.0,2025-11-05
2023-Q3,HORTON D R INC /DE/,882184,35460400000.0,2025-11-19
2023-Q3,JABIL INC,898293,34702000000.0,2025-10-17
2024-Q3,INGRAM MICRO HOLDING CORP,1897762,34639001000.0,2025-10-30
2025-Q4,HEWLETT PACKARD ENTERPRISE CO,1645590,34629000000.0,2025-12-18
2024-Q3,"TRAVELERS COMPANIES, INC.",86312,34415000000.0,2025-10-16
2024-Q3,GENERAL DYNAMICS CORP,40533,34378000000.0,2025-10-24
2025-Q3,HORTON D R INC /DE/,882184,34250400000.0,2025-11-19
2025-Q3,"MOLINA HEALTHCARE, INC.",1179929,34051000000.0,2025-10-23
